Seed,Model_Architecture,Batch_Size,Init_Method,Activation,Iterations,Gradient_Loss,PSNR
0,McMahan_CNN,1,xavier_normal_,ReLU,1200,0.0478873252868652,20.156383514404297
0,McMahan_CNN,1,xavier_uniform_,ReLU,1200,0.0418436527252197,15.736997604370115
0,McMahan_CNN,1,kaiming_normal_,ReLU,1200,0.0106077194213867,22.715547561645508
0,McMahan_CNN,1,kaiming_uniform_,ReLU,1200,0.0048916935920715,21.233522415161133
0,McMahan_CNN,2,xavier_normal_,ReLU,1200,0.0689222812652587,15.481817245483398
0,McMahan_CNN,2,xavier_uniform_,ReLU,1200,0.0839960575103759,12.872594356536863
0,McMahan_CNN,2,kaiming_normal_,ReLU,1200,0.0062246322631835,22.89985466003418
0,McMahan_CNN,2,kaiming_uniform_,ReLU,1200,0.0084852576255798,16.69948387145996
0,McMahan_CNN,4,xavier_normal_,ReLU,1200,0.0521031618118286,13.96064829826355
0,McMahan_CNN,4,xavier_uniform_,ReLU,1200,0.1021531224250793,5.502006769180298
0,McMahan_CNN,4,kaiming_normal_,ReLU,1200,0.0154379606246948,12.651116609573364
0,McMahan_CNN,4,kaiming_uniform_,ReLU,1200,0.0185643434524536,12.390133261680605
0,McMahan_CNN,8,xavier_normal_,ReLU,1200,0.1082846522331237,1.716327726840973
0,McMahan_CNN,8,xavier_uniform_,ReLU,1200,0.1215682029724121,4.50899675488472
0,McMahan_CNN,8,kaiming_normal_,ReLU,1200,0.0285401940345764,13.33738911151886
0,McMahan_CNN,8,kaiming_uniform_,ReLU,1200,0.0185309648513793,13.51194190979004
0,McMahan_CNN,16,xavier_normal_,ReLU,1200,0.089734673500061,-0.8708858713507652
0,McMahan_CNN,16,xavier_uniform_,ReLU,1200,0.0787876844406127,4.672211825847626
0,McMahan_CNN,16,kaiming_normal_,ReLU,1200,0.031900405883789,9.980705797672272
0,McMahan_CNN,16,kaiming_uniform_,ReLU,1200,0.0260173678398132,11.674809992313383
0,Custom_ResNet,1,xavier_normal_,ReLU,1200,0.0085013508796691,21.23050880432129
0,Custom_ResNet,1,xavier_uniform_,ReLU,1200,0.0068903565406799,21.900747299194336
0,Custom_ResNet,1,kaiming_normal_,ReLU,1200,0.000583529472351,29.316274642944336
0,Custom_ResNet,1,kaiming_uniform_,ReLU,1200,0.0010157227516174,23.027727127075195
0,Custom_ResNet,2,xavier_normal_,ReLU,1200,0.0200305581092834,14.66541576385498
0,Custom_ResNet,2,xavier_uniform_,ReLU,1200,0.0130673050880432,16.8095064163208
0,Custom_ResNet,2,kaiming_normal_,ReLU,1200,0.001261293888092,22.37167358398437
0,Custom_ResNet,2,kaiming_uniform_,ReLU,1200,0.0025453567504882,19.155134201049805
0,Custom_ResNet,4,xavier_normal_,ReLU,1200,0.017178475856781,10.18916630744934
0,Custom_ResNet,4,xavier_uniform_,ReLU,1200,0.0170065760612487,10.199890375137327
0,Custom_ResNet,4,kaiming_normal_,ReLU,1200,0.0025449395179748,15.078505516052246
0,Custom_ResNet,4,kaiming_uniform_,ReLU,1200,0.0023552179336547,16.454773902893066
0,Custom_ResNet,8,xavier_normal_,ReLU,1200,0.0294535160064697,9.612559735774994
0,Custom_ResNet,8,xavier_uniform_,ReLU,1200,0.0296325087547302,8.860132455825806
0,Custom_ResNet,8,kaiming_normal_,ReLU,1200,0.0044851303100585,14.074536442756653
0,Custom_ResNet,8,kaiming_uniform_,ReLU,1200,0.0056645274162292,11.812982320785522
0,Custom_ResNet,16,xavier_normal_,ReLU,1200,0.0256022810935974,8.123903900384903
0,Custom_ResNet,16,xavier_uniform_,ReLU,1200,0.0248462557792663,7.314723640680313
0,Custom_ResNet,16,kaiming_normal_,ReLU,1200,0.0043565034866333,9.67705750465393
0,Custom_ResNet,16,kaiming_uniform_,ReLU,1200,0.004786193370819,9.228504329919817
1,McMahan_CNN,1,xavier_normal_,ReLU,1200,0.0088407397270202,21.89520072937012
1,McMahan_CNN,1,xavier_uniform_,ReLU,1200,0.020077645778656,21.375978469848636
1,McMahan_CNN,1,kaiming_normal_,ReLU,1200,0.0013620853424072,29.5803337097168
1,McMahan_CNN,1,kaiming_uniform_,ReLU,1200,0.006190538406372,24.19746398925781
1,McMahan_CNN,2,xavier_normal_,ReLU,1200,0.0517473816871643,17.191277503967285
1,McMahan_CNN,2,xavier_uniform_,ReLU,1200,0.0278730988502502,18.192358016967773
1,McMahan_CNN,2,kaiming_normal_,ReLU,1200,0.007357120513916,22.99846744537353
1,McMahan_CNN,2,kaiming_uniform_,ReLU,1200,0.0064213275909423,22.6705265045166
1,McMahan_CNN,4,xavier_normal_,ReLU,1200,0.0387699604034423,13.289282083511353
1,McMahan_CNN,4,xavier_uniform_,ReLU,1200,0.0840293169021606,0.5147852897644043
1,McMahan_CNN,4,kaiming_normal_,ReLU,1200,0.0137205123901367,19.355306148529053
1,McMahan_CNN,4,kaiming_uniform_,ReLU,1200,0.0075024962425231,14.377128720283508
1,McMahan_CNN,8,xavier_normal_,ReLU,1200,0.0562422275543212,6.236101895570755
1,McMahan_CNN,8,xavier_uniform_,ReLU,1200,0.0920120477676391,-1.4129483103752136
1,McMahan_CNN,8,kaiming_normal_,ReLU,1200,0.0216631889343261,14.23842477798462
1,McMahan_CNN,8,kaiming_uniform_,ReLU,1200,0.0137808322906494,13.02399230003357
1,McMahan_CNN,16,xavier_normal_,ReLU,1200,0.0523556470870971,1.6570087410509586
1,McMahan_CNN,16,xavier_uniform_,ReLU,1200,0.0652352571487426,0.9830492818437052
1,McMahan_CNN,16,kaiming_normal_,ReLU,1200,0.0350530743598938,10.57078754901886
1,McMahan_CNN,16,kaiming_uniform_,ReLU,1200,0.0187928080558776,12.468292117118835
1,Custom_ResNet,1,xavier_normal_,ReLU,1200,0.0069559216499328,21.329973220825195
1,Custom_ResNet,1,xavier_uniform_,ReLU,1200,0.0135882496833801,16.92156219482422
1,Custom_ResNet,1,kaiming_normal_,ReLU,1200,0.0014010667800903,21.21767807006836
1,Custom_ResNet,1,kaiming_uniform_,ReLU,1200,0.0012527108192443,22.69193458557129
1,Custom_ResNet,2,xavier_normal_,ReLU,1200,0.0076555609703063,19.043705940246586
1,Custom_ResNet,2,xavier_uniform_,ReLU,1200,0.0189412236213684,14.047456741333008
1,Custom_ResNet,2,kaiming_normal_,ReLU,1200,0.0021500587463378,16.509953498840332
1,Custom_ResNet,2,kaiming_uniform_,ReLU,1200,0.0017846822738647,19.916401863098145
1,Custom_ResNet,4,xavier_normal_,ReLU,1200,0.0100668668746948,14.827395915985107
1,Custom_ResNet,4,xavier_uniform_,ReLU,1200,0.0168542861938476,12.200087070465088
1,Custom_ResNet,4,kaiming_normal_,ReLU,1200,0.0025320053100585,14.365116596221924
1,Custom_ResNet,4,kaiming_uniform_,ReLU,1200,0.0024487376213073,12.355626702308657
1,Custom_ResNet,8,xavier_normal_,ReLU,1200,0.0269968509674072,10.025219678878784
1,Custom_ResNet,8,xavier_uniform_,ReLU,1200,0.0240217447280883,10.401017546653748
1,Custom_ResNet,8,kaiming_normal_,ReLU,1200,0.0041319727897644,10.69150537252426
1,Custom_ResNet,8,kaiming_uniform_,ReLU,1200,0.0051930546760559,11.31601256132126
1,Custom_ResNet,16,xavier_normal_,ReLU,1200,0.0238041877746582,7.880884438753128
1,Custom_ResNet,16,xavier_uniform_,ReLU,1200,0.0237521529197692,7.958524405956268
1,Custom_ResNet,16,kaiming_normal_,ReLU,1200,0.0049140453338623,8.22460389137268
1,Custom_ResNet,16,kaiming_uniform_,ReLU,1200,0.0037954449653625,9.878934979438782
2,McMahan_CNN,1,xavier_normal_,ReLU,1200,0.0410840511322021,18.78990364074707
2,McMahan_CNN,1,xavier_uniform_,ReLU,1200,0.0258887410163879,17.740741729736328
2,McMahan_CNN,1,kaiming_normal_,ReLU,1200,0.0030864477157592,27.450023651123047
2,McMahan_CNN,1,kaiming_uniform_,ReLU,1200,0.0032063126564025,23.851184844970703
2,McMahan_CNN,2,xavier_normal_,ReLU,1200,0.0255911350250244,16.596274852752686
2,McMahan_CNN,2,xavier_uniform_,ReLU,1200,0.047997236251831,13.954864025115969
2,McMahan_CNN,2,kaiming_normal_,ReLU,1200,0.0070675015449523,19.61330986022949
2,McMahan_CNN,2,kaiming_uniform_,ReLU,1200,0.0064444541931152,18.96730232238769
2,McMahan_CNN,4,xavier_normal_,ReLU,1200,0.0559648871421813,3.911699295043945
2,McMahan_CNN,4,xavier_uniform_,ReLU,1200,0.0640863180160522,9.82439923286438
2,McMahan_CNN,4,kaiming_normal_,ReLU,1200,0.0088875293731689,18.89444875717163
2,McMahan_CNN,4,kaiming_uniform_,ReLU,1200,0.0136793255805969,17.024983882904053
2,McMahan_CNN,8,xavier_normal_,ReLU,1200,0.0879874229431152,3.978465437889099
2,McMahan_CNN,8,xavier_uniform_,ReLU,1200,0.1209545135498046,-1.144930437207222
2,McMahan_CNN,8,kaiming_normal_,ReLU,1200,0.0144287347793579,17.087916016578674
2,McMahan_CNN,8,kaiming_uniform_,ReLU,1200,0.0229536294937133,13.324664950370789
2,McMahan_CNN,16,xavier_normal_,ReLU,1200,0.0592196583747863,1.0027300119400024
2,McMahan_CNN,16,xavier_uniform_,ReLU,1200,0.0809676051139831,1.414886821527034
2,McMahan_CNN,16,kaiming_normal_,ReLU,1200,0.0230234861373901,11.787136435508728
2,McMahan_CNN,16,kaiming_uniform_,ReLU,1200,0.0297158956527709,11.06559869647026
2,Custom_ResNet,1,xavier_normal_,ReLU,1200,0.0113939046859741,19.333053588867188
2,Custom_ResNet,1,xavier_uniform_,ReLU,1200,0.0066362023353576,21.92479705810547
2,Custom_ResNet,1,kaiming_normal_,ReLU,1200,0.0018903613090515,20.18084526062012
2,Custom_ResNet,1,kaiming_uniform_,ReLU,1200,0.0015398263931274,20.86774635314941
2,Custom_ResNet,2,xavier_normal_,ReLU,1200,0.0132628679275512,17.526692390441895
2,Custom_ResNet,2,xavier_uniform_,ReLU,1200,0.0182017683982849,13.97396183013916
2,Custom_ResNet,2,kaiming_normal_,ReLU,1200,0.0022752285003662,16.502808570861816
2,Custom_ResNet,2,kaiming_uniform_,ReLU,1200,0.0019989609718322,20.36589527130127
2,Custom_ResNet,4,xavier_normal_,ReLU,1200,0.0124813914299011,15.349301099777222
2,Custom_ResNet,4,xavier_uniform_,ReLU,1200,0.0200060606002807,11.11315894126892
2,Custom_ResNet,4,kaiming_normal_,ReLU,1200,0.0019270777702331,16.38797092437744
2,Custom_ResNet,4,kaiming_uniform_,ReLU,1200,0.0026556849479675,14.06955599784851
2,Custom_ResNet,8,xavier_normal_,ReLU,1200,0.0249204039573669,10.996570944786072
2,Custom_ResNet,8,xavier_uniform_,ReLU,1200,0.0268157720565795,8.581882238388062
2,Custom_ResNet,8,kaiming_normal_,ReLU,1200,0.0056268572807312,11.732229828834534
2,Custom_ResNet,8,kaiming_uniform_,ReLU,1200,0.0042017102241516,13.691375136375427
2,Custom_ResNet,16,xavier_normal_,ReLU,1200,0.0249868035316467,8.78932499885559
2,Custom_ResNet,16,xavier_uniform_,ReLU,1200,0.0201283693313598,7.522064119577408
2,Custom_ResNet,16,kaiming_normal_,ReLU,1200,0.0049551129341125,9.608804881572723
2,Custom_ResNet,16,kaiming_uniform_,ReLU,1200,0.0047771334648132,9.90607851743698
3,McMahan_CNN,1,xavier_normal_,ReLU,1200,0.0332816839218139,21.162391662597656
3,McMahan_CNN,1,xavier_uniform_,ReLU,1200,0.0372875332832336,19.25200080871582
3,McMahan_CNN,1,kaiming_normal_,ReLU,1200,0.0004676580429077,33.49817657470703
3,McMahan_CNN,1,kaiming_uniform_,ReLU,1200,0.0025519728660583,25.67048072814941
3,McMahan_CNN,2,xavier_normal_,ReLU,1200,0.0279282331466674,17.78322982788086
3,McMahan_CNN,2,xavier_uniform_,ReLU,1200,0.0568370819091796,13.997583866119385
3,McMahan_CNN,2,kaiming_normal_,ReLU,1200,0.0018826723098754,25.651360511779785
3,McMahan_CNN,2,kaiming_uniform_,ReLU,1200,0.0165570974349975,19.18680000305176
3,McMahan_CNN,4,xavier_normal_,ReLU,1200,0.0908644795417785,0.2782763242721557
3,McMahan_CNN,4,xavier_uniform_,ReLU,1200,0.0994606614112854,2.262563109397888
3,McMahan_CNN,4,kaiming_normal_,ReLU,1200,0.0035079717636108,14.15640103816986
3,McMahan_CNN,4,kaiming_uniform_,ReLU,1200,0.0132515430450439,13.569332361221312
3,McMahan_CNN,8,xavier_normal_,ReLU,1200,0.097328782081604,-0.8535802997648716
3,McMahan_CNN,8,xavier_uniform_,ReLU,1200,0.0835930705070495,8.759263157844543
3,McMahan_CNN,8,kaiming_normal_,ReLU,1200,0.0240337252616882,13.696443438529968
3,McMahan_CNN,8,kaiming_uniform_,ReLU,1200,0.0243114829063415,13.396043479442596
3,McMahan_CNN,16,xavier_normal_,ReLU,1200,0.0850594043731689,-2.1994935125112534
3,McMahan_CNN,16,xavier_uniform_,ReLU,1200,0.0705364942550659,3.4005684852600098
3,McMahan_CNN,16,kaiming_normal_,ReLU,1200,0.0336224436759948,9.699772328138351
3,McMahan_CNN,16,kaiming_uniform_,ReLU,1200,0.038077175617218,11.507407367229462
3,Custom_ResNet,1,xavier_normal_,ReLU,1200,0.0126803517341613,18.3330135345459
3,Custom_ResNet,1,xavier_uniform_,ReLU,1200,0.0090051293373107,20.303119659423828
3,Custom_ResNet,1,kaiming_normal_,ReLU,1200,0.0010303854942321,23.81915855407715
3,Custom_ResNet,1,kaiming_uniform_,ReLU,1200,0.0015209913253784,21.0716552734375
3,Custom_ResNet,2,xavier_normal_,ReLU,1200,0.014245331287384,16.146610260009766
3,Custom_ResNet,2,xavier_uniform_,ReLU,1200,0.0182484984397888,14.43403673171997
3,Custom_ResNet,2,kaiming_normal_,ReLU,1200,0.0028076171875,16.450406074523926
3,Custom_ResNet,2,kaiming_uniform_,ReLU,1200,0.0023990869522094,17.641094207763672
3,Custom_ResNet,4,xavier_normal_,ReLU,1200,0.01124769449234,11.056716680526732
3,Custom_ResNet,4,xavier_uniform_,ReLU,1200,0.0158397555351257,12.1456298828125
3,Custom_ResNet,4,kaiming_normal_,ReLU,1200,0.0019404888153076,12.587571382522585
3,Custom_ResNet,4,kaiming_uniform_,ReLU,1200,0.0031215548515319,13.432960271835327
3,Custom_ResNet,8,xavier_normal_,ReLU,1200,0.0228335261344909,12.375735640525818
3,Custom_ResNet,8,xavier_uniform_,ReLU,1200,0.037557303905487,9.052302896976473
3,Custom_ResNet,8,kaiming_normal_,ReLU,1200,0.0045561790466308,10.91251254081726
3,Custom_ResNet,8,kaiming_uniform_,ReLU,1200,0.0042877197265625,13.066438794136047
3,Custom_ResNet,16,xavier_normal_,ReLU,1200,0.0198426842689514,9.030546724796295
3,Custom_ResNet,16,xavier_uniform_,ReLU,1200,0.0239589810371398,8.10416954755783
3,Custom_ResNet,16,kaiming_normal_,ReLU,1200,0.0041008591651916,9.447548806667328
3,Custom_ResNet,16,kaiming_uniform_,ReLU,1200,0.0042909979820251,9.46770042181015
4,McMahan_CNN,1,xavier_normal_,ReLU,1200,0.0454792976379394,16.143781661987305
4,McMahan_CNN,1,xavier_uniform_,ReLU,1200,0.0129876732826232,20.152921676635746
4,McMahan_CNN,1,kaiming_normal_,ReLU,1200,0.0026782155036926,27.81917953491211
4,McMahan_CNN,1,kaiming_uniform_,ReLU,1200,0.0036652088165283,21.41742515563965
4,McMahan_CNN,2,xavier_normal_,ReLU,1200,0.0448815822601318,14.543591976165771
4,McMahan_CNN,2,xavier_uniform_,ReLU,1200,0.0287803411483764,18.67898464202881
4,McMahan_CNN,2,kaiming_normal_,ReLU,1200,0.0035808086395263,22.5801420211792
4,McMahan_CNN,2,kaiming_uniform_,ReLU,1200,0.0071795582771301,21.432963371276852
4,McMahan_CNN,4,xavier_normal_,ReLU,1200,0.0717760324478149,7.056644439697266
4,McMahan_CNN,4,xavier_uniform_,ReLU,1200,0.0321455597877502,14.189489841461182
4,McMahan_CNN,4,kaiming_normal_,ReLU,1200,0.0107967257499694,13.261028170585632
4,McMahan_CNN,4,kaiming_uniform_,ReLU,1200,0.0097057223320007,18.290807723999023
4,McMahan_CNN,8,xavier_normal_,ReLU,1200,0.0909219980239868,4.101355016231537
4,McMahan_CNN,8,xavier_uniform_,ReLU,1200,0.0502674579620361,8.39929723739624
4,McMahan_CNN,8,kaiming_normal_,ReLU,1200,0.0217925906181335,13.186760783195496
4,McMahan_CNN,8,kaiming_uniform_,ReLU,1200,0.0170701742172241,13.922217726707458
4,McMahan_CNN,16,xavier_normal_,ReLU,1200,0.0778383612632751,0.4155607670545578
4,McMahan_CNN,16,xavier_uniform_,ReLU,1200,0.0363118648529052,3.7540092691779137
4,McMahan_CNN,16,kaiming_normal_,ReLU,1200,0.0259230732917785,11.052219718694689
4,McMahan_CNN,16,kaiming_uniform_,ReLU,1200,0.0244410037994384,10.026071161031725
4,Custom_ResNet,1,xavier_normal_,ReLU,1200,0.0279337167739868,13.312677383422852
4,Custom_ResNet,1,xavier_uniform_,ReLU,1200,0.0104356408119201,19.99895477294922
4,Custom_ResNet,1,kaiming_normal_,ReLU,1200,0.0015748739242553,23.83726501464844
4,Custom_ResNet,1,kaiming_uniform_,ReLU,1200,0.0010880827903747,23.532909393310547
4,Custom_ResNet,2,xavier_normal_,ReLU,1200,0.0172154903411865,15.849993705749512
4,Custom_ResNet,2,xavier_uniform_,ReLU,1200,0.017060101032257,14.56236457824707
4,Custom_ResNet,2,kaiming_normal_,ReLU,1200,0.0025258660316467,18.81979751586914
4,Custom_ResNet,2,kaiming_uniform_,ReLU,1200,0.0013670921325683,22.13798236846924
4,Custom_ResNet,4,xavier_normal_,ReLU,1200,0.013319194316864,11.114852905273438
4,Custom_ResNet,4,xavier_uniform_,ReLU,1200,0.0097642540931701,14.540939331054688
4,Custom_ResNet,4,kaiming_normal_,ReLU,1200,0.0022423863410949,17.37247610092163
4,Custom_ResNet,4,kaiming_uniform_,ReLU,1200,0.0020552277565002,16.494556188583374
4,Custom_ResNet,8,xavier_normal_,ReLU,1200,0.0264500975608825,10.632656335830688
4,Custom_ResNet,8,xavier_uniform_,ReLU,1200,0.0190597176551818,11.47814965248108
4,Custom_ResNet,8,kaiming_normal_,ReLU,1200,0.0054806470870971,13.057127594947817
4,Custom_ResNet,8,kaiming_uniform_,ReLU,1200,0.0041657090187072,12.584826111793518
4,Custom_ResNet,16,xavier_normal_,ReLU,1200,0.0242860913276672,8.717422485351562
4,Custom_ResNet,16,xavier_uniform_,ReLU,1200,0.0198989510536193,8.503184258937836
4,Custom_ResNet,16,kaiming_normal_,ReLU,1200,0.005289614200592,9.17426922917366
4,Custom_ResNet,16,kaiming_uniform_,ReLU,1200,0.004127562046051,9.37650978565216
